"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.033223458E0,1.275347900E-1,3.864962769E-1,9.795929260E0,9.804380376E0
2.043268458E0,1.212478638E-1,3.839515686E-1,9.794731750E0,9.803004127E0
2.053314458E0,1.219963074E-1,3.754193115E-1,9.786199493E0,9.794157610E0
2.063359458E0,1.155596924E-1,3.688330078E-1,9.796827393E0,9.804448928E0
2.073405458E0,1.152603149E-1,3.492237854E-1,9.781858521E0,9.788768988E0
2.083450458E0,1.020877075E-1,3.616479492E-1,9.794881439E0,9.802087204E0
2.093496458E0,1.071771240E-1,3.713777161E-1,9.779613190E0,9.787248974E0
2.103541458E0,1.032852173E-1,3.594026184E-1,9.785900116E0,9.793042385E0
2.113587458E0,1.184037781E-1,3.600013733E-1,9.797875214E0,9.805201637E0
2.123632458E0,1.207987976E-1,3.833528137E-1,9.769434357E0,9.777699084E0
2.133677458E0,1.330732727E-1,3.918850708E-1,9.795929260E0,9.804667892E0
2.143723458E0,1.405577087E-1,3.926335144E-1,9.789492645E0,9.798371487E0
2.153768458E0,1.225950623E-1,3.818559265E-1,9.774972839E0,9.783196692E0
2.163814458E0,1.242416382E-1,3.784130859E-1,9.796528015E0,9.804621033E0
2.173859458E0,1.197509766E-1,3.576063538E-1,9.803264008E0,9.810515165E0
2.183905458E0,1.278341675E-1,3.606001282E-1,9.782906342E0,9.790384595E0
2.193950458E0,1.121168518E-1,3.579057312E-1,9.801767120E0,9.808940074E0
2.203995458E0,1.104702759E-1,3.460803223E-1,9.771679688E0,9.778430303E0
2.214041458E0,1.100212097E-1,3.570075989E-1,9.780661011E0,9.787792851E0
2.224086458E0,1.166075134E-1,3.631448364E-1,9.791288910E0,9.798714712E0
2.234132458E0,1.095721436E-1,3.781137085E-1,9.804162140E0,9.812062540E0
2.244177458E0,1.092727661E-1,3.761677551E-1,9.780810699E0,9.788651626E0
2.254223458E0,1.127156067E-1,3.855981445E-1,9.790690155E0,9.798928740E0
2.264268458E0,1.264869690E-1,3.844006348E-1,9.769284668E0,9.777662590E0
2.274314458E0,1.336720276E-1,3.860472107E-1,9.791139221E0,9.799658561E0
2.284359458E0,1.239422607E-1,3.770658875E-1,9.790390778E0,9.798433137E0
2.294404458E0,1.163081360E-1,3.821553040E-1,9.776320038E0,9.784477694E0
2.304450458E0,1.170565796E-1,3.857478333E-1,9.766739960E0,9.775055656E0
2.314495458E0,1.115180969E-1,3.713777161E-1,9.795929260E0,9.803600755E0
2.324541458E0,1.085243225E-1,3.646417236E-1,9.805060272E0,9.812438436E0
2.334586458E0,1.070274353E-1,3.622467041E-1,9.794881439E0,9.802162004E0
2.344632458E0,1.157093811E-1,3.659889221E-1,9.790690155E0,9.798211585E0
2.354677458E0,1.083746338E-1,3.643423462E-1,9.779313812E0,9.786698577E0
2.364723458E0,1.049317932E-1,3.697311401E-1,9.781409454E0,9.788957182E0
2.374768458E0,1.178050232E-1,3.796105957E-1,9.790091400E0,9.798156554E0
2.384813458E0,1.152603149E-1,3.656895447E-1,9.775721283E0,9.783237725E0
2.394859458E0,1.169068909E-1,3.806584167E-1,9.796078949E0,9.804169053E0
2.404904458E0,1.266366577E-1,3.736230469E-1,9.785451050E0,9.793399985E0
2.414950458E0,1.233435059E-1,3.505709839E-1,9.798623657E0,9.805668728E0
2.424995458E0,1.187031555E-1,3.501219177E-1,9.774074707E0,9.781063959E0
2.435041458E0,1.237925720E-1,3.719764709E-1,9.786049805E0,9.793899217E0
2.445086458E0,1.228944397E-1,3.851490784E-1,9.818831635E0,9.827151038E0
2.455132458E0,1.115180969E-1,3.704795837E-1,9.770482178E0,9.778139567E0
2.465177458E0,1.113684082E-1,3.715274048E-1,9.783804474E0,9.791489443E0
2.475222458E0,1.116677856E-1,3.611988831E-1,9.785900116E0,9.793200468E0
2.485268458E0,1.139131165E-1,3.629951477E-1,9.786049805E0,9.793442319E0
2.495313458E0,1.095721436E-1,3.775149536E-1,9.812844086E0,9.820714467E0
2.505359458E0,1.110690308E-1,3.818559265E-1,9.784253540E0,9.792332083E0
2.515404458E0,1.083746338E-1,3.852987671E-1,9.790690155E0,9.798867991E0
2.525450458E0,1.118174744E-1,3.929328918E-1,9.789492645E0,9.798013353E0
2.535495458E0,1.231938171E-1,3.860472107E-1,9.789193268E0,9.797576945E0
2.545541458E0,1.169068909E-1,3.918850708E-1,9.776918793E0,9.785467910E0
2.555586458E0,1.213975525E-1,3.887416077E-1,9.785750427E0,9.794221196E0
2.565631458E0,1.218466187E-1,3.737727356E-1,9.779762878E0,9.787661346E0
2.575677458E0,1.143621826E-1,3.631448364E-1,9.791588287E0,9.798987400E0
2.585722458E0,1.109193420E-1,3.656895447E-1,9.779912567E0,9.787375632E0
2.595768458E0,1.167572021E-1,3.620970154E-1,9.807455292E0,9.814831929E0
2.605813458E0,9.684860229E-2,3.790118408E-1,9.772428131E0,9.780254660E0
2.615859458E0,1.028361511E-1,3.833528137E-1,9.794582062E0,9.802620691E0
2.625904458E0,1.219963074E-1,3.854484558E-1,9.799521790E0,9.807858121E0
2.635949458E0,1.353186035E-1,3.632945251E-1,9.776918793E0,9.784601940E0
