"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.478089279E0,7.395000011E-2,-1.201050043E0,9.763050079E0,9.836927196E0
1.482883817E0,8.100000024E-2,-1.179000020E0,9.760950089E0,9.832230097E0
1.487676050E0,6.599999964E-2,-1.177050114E0,9.769950867E0,9.840820236E0
1.492469351E0,8.595000207E-2,-1.186050057E0,9.775050163E0,9.847116727E0
1.497262813E0,7.095000148E-2,-1.177050114E0,9.742050171E0,9.813155578E0
1.502057351E0,6.599999964E-2,-1.191000104E0,9.778050423E0,9.850538428E0
1.506849584E0,7.605000585E-2,-1.191000104E0,9.748950005E0,9.821725462E0
1.511642889E0,6.195000187E-2,-1.186050057E0,9.781949997E0,9.853785987E0
1.516436351E0,8.100000024E-2,-1.171950102E0,9.745950699E0,9.816495457E0
1.521230928E0,6.195000187E-2,-1.198050022E0,9.768000603E0,9.841392048E0
1.526023160E0,6.405000389E-2,-1.207950115E0,9.769950867E0,9.844551073E0
1.530816466E0,6.405000389E-2,-1.171950102E0,9.754050255E0,9.824411729E0
1.535609918E0,3.495000303E-2,-1.191000104E0,9.781949997E0,9.854250276E0
1.540404456E0,7.395000011E-2,-1.191000104E0,9.766050339E0,9.838683300E0
