"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.315420625E0,9.726024628E0,-5.144801331E-1,2.132914581E0,9.970434769E0
2.325467625E0,9.615704041E0,-5.774990845E-1,2.321821747E0,9.908891240E0
2.335515625E0,9.469458160E0,-7.238946533E-1,2.568808136E0,9.838365543E0
2.345562625E0,9.314979401E0,-8.273295593E-1,2.579436035E0,9.700866234E0
2.355610625E0,9.334738312E0,-8.418493652E-1,2.584375763E0,9.722399281E0
2.365658625E0,9.448501740E0,-8.024812317E-1,2.622396698E0,9.838451387E0
2.375705625E0,9.544601898E0,-7.798782349E-1,2.584375763E0,9.919003657E0
2.385753625E0,9.526190186E0,-7.367678833E-1,2.566712494E0,9.893388671E0
2.395800625E0,9.389524384E0,-7.315287781E-1,2.591710510E0,9.768073806E0
2.405848625E0,9.253307648E0,-6.933581543E-1,2.530338135E0,9.618059005E0
2.415895625E0,9.211394806E0,-6.782395935E-1,2.456840973E0,9.557503376E0
2.425943625E0,9.241033173E0,-6.951544189E-1,2.488574982E0,9.595464512E0
2.435991625E0,9.216035156E0,-7.512876892E-1,2.607876892E0,9.607328405E0
2.446038625E0,9.472601624E0,-7.848179626E-1,2.799628143E0,9.908785924E0
2.456086625E0,9.664053497E0,-7.899073792E-1,2.901416473E0,1.012107214E1
2.466133625E0,9.702074432E0,-7.885601807E-1,2.935246124E0,1.016699293E1
2.476181625E0,9.710756378E0,-9.069639587E-1,2.966381378E0,1.019415477E1
2.486228625E0,9.642797699E0,-1.027014313E0,2.965183868E0,1.014054344E1
2.496276625E0,9.545350342E0,-1.137634277E0,3.004252625E0,1.007141791E1
2.506323625E0,9.463470612E0,-1.207089844E0,3.030897217E0,1.001002896E1
2.516371625E0,9.451196136E0,-1.141526184E0,2.890788574E0,9.949112977E0
2.526419625E0,9.543703766E0,-1.000369720E0,2.923570404E0,1.003146475E1
2.536466625E0,9.637408905E0,-8.904981995E-1,2.947221222E0,1.011725014E1
2.546514625E0,9.682165833E0,-8.860075378E-1,3.022065582E0,1.018146477E1
2.556561625E0,9.595945129E0,-9.794132996E-1,3.105292511E0,1.013332398E1
2.566609625E0,9.447154541E0,-1.099763031E0,3.097957764E0,1.000277711E1
2.576656625E0,9.364825745E0,-1.216669922E0,3.065625000E0,9.928660714E0
2.586704625E0,9.380842438E0,-1.355431366E0,3.190465393E0,1.000082339E1
2.596751625E0,9.303453369E0,-1.435814209E0,3.257226562E0,9.961191290E0
2.606799625E0,9.203910370E0,-1.427281952E0,3.164868622E0,9.836945322E0
2.616847625E0,9.136550446E0,-1.365759888E0,2.858306122E0,9.670148293E0
2.626894625E0,9.213041382E0,-1.264420624E0,2.662064209E0,9.672924939E0
2.636942625E0,9.297166443E0,-1.240620117E0,2.558778992E0,9.722334703E0
2.646989625E0,9.232800293E0,-1.223854980E0,2.401905212E0,9.618293555E0
2.657037625E0,9.162745972E0,-1.159937897E0,2.306254120E0,9.519463101E0
2.667084625E0,9.089697876E0,-1.101259918E0,2.162103882E0,9.407979277E0
2.677132625E0,9.178014221E0,-1.023272095E0,2.066303101E0,9.463225630E0
2.687179625E0,9.351503448E0,-1.023721161E0,2.255060577E0,9.673878228E0
2.697227625E0,9.386829987E0,-1.106648712E0,2.590063934E0,9.800289779E0
2.707275625E0,9.521849213E0,-1.143771515E0,2.811902618E0,9.994029320E0
2.717322625E0,9.744436340E0,-1.031954041E0,2.892734528E0,1.021698986E1
2.727370625E0,9.949809265E0,-8.891510010E-1,2.956052856E0,1.041765532E1
2.737417625E0,1.018781433E1,-9.638456726E-1,2.860850830E0,1.062567771E1
2.747465625E0,1.037866745E1,-1.229692841E0,2.857258301E0,1.083479615E1
2.757512625E0,1.032971924E1,-1.542991333E0,2.918331299E0,1.084438008E1
2.767560625E0,1.010428802E1,-1.835932159E0,2.857258301E0,1.065979401E1
2.777607625E0,9.812095642E0,-1.981429596E0,2.572849731E0,1.033551353E1
2.787655625E0,9.617799683E0,-2.002236328E0,2.202220459E0,1.006780989E1
2.797702625E0,9.436975708E0,-1.988464966E0,2.009421387E0,9.851308428E0
2.807750625E0,9.155710602E0,-2.019450531E0,1.890867920E0,9.564549052E0
2.817798625E0,8.859027557E0,-2.045945435E0,1.751208344E0,9.259319232E0
2.827845625E0,8.713081055E0,-1.957629089E0,1.744322662E0,9.099052405E0
2.837893625E0,8.759484558E0,-1.887425079E0,2.134860535E0,9.211328496E0
2.847940625E0,8.984466705E0,-1.838626556E0,2.451152802E0,9.492593937E0
2.857988625E0,9.385782166E0,-1.806144104E0,2.555635529E0,9.893752389E0
2.868035625E0,9.792336731E0,-1.882784729E0,2.699187012E0,1.033055408E1
2.878083625E0,1.000624191E1,-1.949845276E0,2.665057983E0,1.053704455E1
